,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES – use \n for newline,max length
menureleasenotes_eawarning,Welcome to Noita!\nNoita is an early access game.\nIt contains bugs and may even sometimes crash!\nWe're working hard to fix things and add new features.,"Добро пожаловать в Noita!\nЭта игра находится в раннем доступе.\nВ ней есть ошибки, и она может давать сбои!\nМы стараемся исправлять ошибки и добавлять новые возможности.",Boas-vindas a Noita!\nNoita é um jogo em acesso antecipado.\nEle contém erros e pode fechar sozinho às vezes!\nEstamos trabalhando duro para corrigir tudo e adicionar novos recursos.,¡Te damos la bienvenida a Noita!\nNoita es un juego de acceso anticipado.\n¡Tiene algún error y puede llegar a fallar!\nTrabajamos duro para solucionar los fallos y añadir nuevas características.,"Willkommen zu Noita!\nNoita ist ein „Early Access“-Spiel.\nEs enthält Fehler und könnte sogar abstürzen!\nWir arbeiten hart daran, die Fehler zu beheben und neue Funktionen hinzuzufügen.",Bienvenue dans Noita !\nNoita est un jeu en accès anticipé.\nIl contient des bugs et peut parfois planter !\nNous travaillons dur pour corriger ces problèmes et ajouter de nouvelles fonctionnalités.,欢迎来到《Noita》！\n《Noita》目前处于抢先体验阶段。\n游戏可能包含错误，甚至会崩溃！\n我们正努力对这些问题进行修复，同时为游戏追加新的内容。,Noitaへようこそ！\nNoitaは早期アクセスのゲームです。\nこのゲームにはバグが含まれており、時にはクラッシュしてしまう可能性もあります！\n私たちは全力でこの問題の修正に取り組んでおり、新しい機能の追加に向けて取り組んでいます。,Noita에 오신 것을 환영합니다!\nNoita는 얼리 액세스 게임입니다.\n버그가 있을 수 있고 가끔 충돌도 발생할 수 있습니다!\n문제를 해결하고 새 기능을 추가하고자 열심히 노력하고 있습니다.,,,PLACEHOLDER,
controls_up,up,вверх,cima,Arriba,hoch,haut,向上,上,위,,,,
controls_down,down,вниз,baixo,Abajo,runter,bas,向下,下,아래,,,,
controls_left,left,влево,esquerda,Izquierda,links,gauche,向左,左,왼쪽,,,,
controls_right,right,вправо,direita,Derecha,rechts,droite,向右,右,오른쪽,,,,
controls_usewand,use  wand,использовать жезл,usar varinha,Usar varita,Zauberstab verwenden,utiliser la baguette,使用魔杖,杖を使う,완드 사용,,,,
controls_sprayflask,spray from flask,распылить из бутыли,borrifar frasco,rociar con frasco,aus der Flasche sprühen,pulvériser avec le flacon,从烧瓶喷射,フラスコから放射する,플라스크로 뿌리기,,,,
controls_throw,throw,бросить,arremessar,Lanzar,werfen,lancer,投掷,投げる,던지기,,,,
controls_kick,kick,ударить,chutar,Patada,Schlag,coup de pied,踢击,蹴る,발차기,,,,
controls_inventory,open/close inventory,открыть (закрыть) инвентарь,abrir/fechar inventário,Abrir/cerrar inventario,Inventar öffnen/schließen,ouvrir/fermer l'inventaire,开启/关闭物品栏,所持品を開く/閉じる,인벤토리 열기/닫기,,,,
controls_use,use,использовать,usar,Usar,verwenden,utiliser,使用,使う,사용,,,,
controls_itemnext,next item,следующий предмет,item seguinte,Siguiente objeto,nächster Gegenstand,objet suivant,下个物品,次のアイテム,다음 아이템,,,,
controls_itemprev,previous item,предыдущий предмет,item anterior,Anterior objeto,vorheriger Gegenstand,objet précédent,上个物品,前のアイテム,이전 아이템,,,,
controls_itemslot1,select item in slot 1,выбрать предмет в ячейке 1,selecionar item no espaço 1,Seleccionar objeto en ranura 1,Item in Slot 1 wählen,sélectionner l'objet dans l'emplacement 1,选择 1 号槽物品,スロット1のアイテムを選択する,슬롯 1 아이템 선택,,,,
controls_itemslot2,select item in slot 2,выбрать предмет в ячейке 2,selecionar item no espaço 2,Seleccionar objeto en ranura 2,Item in Slot 2 wählen,sélectionner l'objet dans l'emplacement 2,选择 2 号槽物品,スロット2のアイテムを選択する,슬롯 2 아이템 선택,,,,
controls_itemslot3,select item in slot 3,выбрать предмет в ячейке 3,selecionar item no espaço 3,Seleccionar objeto en ranura 3,Item in Slot 3 wählen,sélectionner l'objet dans l'emplacement 3,选择 3 号槽物品,スロット3のアイテムを選択する,슬롯 3 아이템 선택,,,,
controls_itemslot4,select item in slot 4,выбрать предмет в ячейке 4,selecionar item no espaço 4,Seleccionar objeto en ranura 4,Item in Slot 4 wählen,sélectionner l'objet dans l'emplacement 4,选择 4 号槽物品,スロット4のアイテムを選択する,슬롯 4 아이템 선택,,,,
controls_itemslot5,select item in slot 5,выбрать предмет в ячейке 5,selecionar item no espaço 5,Seleccionar objeto en ranura 5,Item in Slot 5 wählen,sélectionner l'objet dans l'emplacement 5,选择 5 号槽物品,スロット5のアイテムを選択する,슬롯 5 아이템 선택,,,,
controls_itemslot6,select item in slot 6,выбрать предмет в ячейке 6,selecionar item no espaço 6,Seleccionar objeto en ranura 6,Item in Slot 6 wählen,sélectionner l'objet dans l'emplacement 6,选择 6 号槽物品,スロット6のアイテムを選択する,슬롯 6 아이템 선택,,,,
controls_itemslot7,select item in slot 7,выбрать предмет в ячейке 7,selecionar item no espaço 7,Seleccionar objeto en ranura 7,Item in Slot 7 wählen,sélectionner l'objet dans l'emplacement 7,选择 7 号槽物品,スロット7のアイテムを選択する,슬롯 7 아이템 선택,,,,
controls_itemslot8,select item in slot 8,выбрать предмет в ячейке 8,selecionar item no espaço 8,Seleccionar objeto en ranura 8,Item in Slot 8 wählen,sélectionner l'objet dans l'emplacement 8,选择 8 号槽物品,スロット8のアイテムを選択する,슬롯 8 아이템 선택,,,,
controls_itemslot9,select item in slot 9,выбрать предмет в ячейке 9,selecionar item no espaço 9,Seleccionar objeto en ranura 9,Item in Slot 9 wählen,sélectionner l'objet dans l'emplacement 9,选择 9 号槽物品,スロット9のアイテムを選択する,슬롯 9 아이템 선택,,,,
controls_itemslot10,select item in slot 10,выбрать предмет в ячейке 10,selecionar item no espaço 10,Seleccionar objeto en ranura 10,Item in Slot 10 wählen,sélectionner l'objet dans l'emplacement 10,选择 10 号槽物品,スロット10のアイテムを選択する,슬롯 10 아이템 선택,,,,
controls_escape,pause/close,приостановить (закрыть),pausar/fechar,Pausa/cerrar,Pause/schließen,mettre en pause/fermer,暂停/关闭,一旦停止/閉じる,일시 정지/닫기,,,,
hud_air_unit,o2,o2,o2,O2,o2,o2,氧气,o2,산소,o2,,,
hud_air,Air: $0 / $1,Воздух: $0 / $1,Ar: $0 / $1,Aire: $0 / $1,Luft: $0 / $1,Air : $0/$1,空气：$0 / $1,空気： $0 / $1,공기: $0 / $1,Happi: $0 / $1,,,
hud_health,Health: $0 / $1,Здоровье: $0 / $1,Saúde: $0 / $1,Salud: $0 / $1,Gesundheit: $0 / $1,Santé : $0/$1,生命值：$0 / $1,ヘルス： $0 / $1,체력: $0 / $1,Elämä: $0 / $1,,,
hud_jetpack,Levitation energy: $0 / $1,Энергия левитации: $0 / $1,Energia de levitação: $0 / $1,Energía levitatoria: $0 / $1,Schwebeenergie: $0 / $1,Énergie de lévitation : $0/$1,浮空能量：$0 / $1,空中浮遊エネルギー： $0 / $1,비행 에너지: $0 / $1,Levitaatiovoima: $0 / $1,,,
hud_wand_mana,Wand mana: $0 / $1,Мана жезла: $0 / $1,Mana da varinha: $0 / $1,Maná de varita: $0 / $1,Zauberstab-Mana: $0 / $1,Mana de la baguette : $0/$1,魔杖法力：$0 / $1,杖のマナ： $0 / $1,완드 마나: $0 / $1,Sauvan taikavoima: $0 / $1,,,
hud_wand_reload,Wand recharge: $0 s,Перезарядка жезла: $0 с,Recarga de varinha: $0 s,Recarga de varita: $0 s,Zauberstabladung: $0 s,Recharge de la baguette : $0 s,魔杖充能：$0 秒,杖のリチャージ： $0 秒,완드 충전: $0초,Sauvan lataus: $0 s,,,
hud_gold,Gold: $0,Золото: $0,Ouro: $0,Oro: $0 s,Gold: $0,Or : $0,黄金：$0,ゴールド： $0,골드: $0,Kulta: $0,,,
hud_orbs,Orbs collected: $0,Собрано шаров: $0,Orbes coletados: $0,Orbes recogidos: $0,Gesammelte Kugeln: $0,Orbes récupérés : $0,获得魔球：$0,回収したオーブ： $0,수집한 오브: $0,Taikapallot: $0,,,
hud_title_wands,WANDS,ЖЕЗЛЫ,VARINHAS,VARITAS,ZAUBERSTÄBE,BAGUETTES,魔杖,杖,완드,SAUVAT,,,
hud_title_throwables,ITEMS,ПРЕДМЕТЫ,ITENS,OBJETOS,GEGENSTÄNDE,OBJETS,物品,アイテム,아이템,TAIKAJUOMAT,,,
hud_title_actionstorage,SPELLS,ЗАКЛИНАНИЯ,FEITIÇOS,HECHIZOS,ZAUBER,SORTS,法术,呪文,주문,MAGIAVARASTO,,,
menu_newwand_title,NEW WAND,НОВЫЙ ЖЕЗЛ,NOVA VARINHA,NUEVA VARITA,NEUER ZAUBERSTAB,NOUVELLE BAGUETTE,新魔杖,新しい杖,새 완드,UUSI SAUVA,,,
menu_newwand_pressagain_pick,Press $0 again to pick the wand,"Чтобы взять жезл, нажмите $0 еще раз",Aperte $0 de novo para pegar a varinha,Pulsa $0 de nuevo para recoger la varita,Drücke nochmals $0 um den Zauberstab aufzuheben,Appuyez à nouveau sur $0 pour ramasser la baguette,再按一次 $0 拾起魔杖,$0 をもう一度押して杖を拾う,$0(을)를 다시 눌러 완드 집기,Paina $0 uudestaan poimiaksesi sauvan,,,
menu_newwand_pressagain_cancel,Press $0 to cancel,Отмена — $0,Aperte $0 para cancelar,Pulsa $0 para cancelar,Drücke $0 zum abbrechen,Appuyez sur $0 pour annuler,按 $0 取消,$0 を押してキャンセル,$0(을)를 눌러 취소,Paina $0 peruuttaaksesi,,,
menu_newwand_whichwand_gamepad,WHICH WAND DO YOU WANT TO DROP?,КАКОЙ ЖЕЗЛ ВЫБРОСИТЬ?,QUAL VARINHA DESEJA LARGAR?,¿QUÉ VARITA QUIERES SOLTAR?,WELCHEN ZAUBERSTAB MÖCHTEST DU FALLENLASSEN?,QUELLE BAGUETTE VOULEZ-VOUS LÂCHER ?,希望丢弃哪支魔杖？,どの杖を落としますか？,어느 완드를 버릴까요?,MINKÄ SAUVAN HALUAT TIPUTTAA?,,,
menu_newwand_whichwand_keyboard,WHICH WAND DO YOU WANT TO DROP? (Click it!),КАКОЙ ЖЕЗЛ ВЫБРОСИТЬ? (нажмите на него!),QUAL VARINHA DESEJA LARGAR? (Clique nela!),¿QUÉ VARITA QUIERES SOLTAR? (Haz clic en ella),WELCHEN ZAUBERSTAB MÖCHTEST DU FALLENLASSEN? (Klicke ihn an!),QUELLE BAGUETTE VOULEZ-VOUS LÂCHER ? (Cliquez dessus !),希望丢弃哪支魔杖？（请点击！）,どの杖を落としますか？(クリックしてください！),어느 완드를 버릴까요? (클릭하세요!),MINKÄ SAUVAN HALUAT TIPUTTAA? KLIKKAA SAUVAA VALITAKSESI!,,,
menu_newwand_emptyslot,$0 - empty slot,$0 — пустая ячейка,$0 - espaço vazio,$0 - ranura vacía,$0 - leerer Slot,$0 - emplacement vide,$0 - 空槽,$0 - 空のスロット,$0 - 빈 슬롯,$0 - tyhjä lokero,,,
menu_newbook_pressagain_pick,Press $0 again to pick the book,"Чтобы взять книгу, нажмите $0 еще раз",Aperte $0 de novo para pegar o livro,Pulsa $0 de nuevo para recoger el libro,Drücke nochmals $0 um das Buch aufzuheben,Appuyez sur $0 pour ramasser le livre,再按一次 $0 拾起魔法书,$0 をもう一度押して本を拾う,$0을(를) 다시 눌러 책 집기,Paina $0 uudestaan poimiaksesi kirjan,,,
menu_newbook_pressagain_close,Press $0 to close,Закрыть — $0,Aperte $0 para fechar,Pulsa $0 para cerrar,Drücke $0 zum Schließen,Appuyez sur $0 pour fermer,按 $0 关闭,$0 を押して閉じる,$0을(를) 눌러 닫기,Paina $0 sulkeaksesi kirjan,,,
item_empty,Empty,Пусто,Vazio,Vacío,Leer,Vide,空,空,비어 있음,Tyhjä,,,
item_wand,Wand,Жезл,Varinha,Varita,Zauberstab,Baguette,魔杖,杖,완드,Sauva,,,
item_potion,Flask,Бутыль,Frasco,Frasco,Flasche,Flacon,烧瓶,フラスコ,플라스크,Taikajuoma,,,
item_cocktail,Cocktail,Коктейль,Coquetel,Cóctel,Cocktail,Cocktail,鸡尾酒,カクテル,칵테일,,,,
item_thunderstone,Thunderstone,Грозовой камень,Tempespedra,Piedra de rayo,Gewitterstein,Pierre d'orage,雷鸣之石,雷石,썬더스톤,SalamaKivi,,,
item_orb,Orb,Шар,Orbe,Orbe,Kugel,Orbe,魔球,オーブ,오브,Taikapallo $0,,,
item_description_potion,Equip and throw,Установить и бросить,Equipar e arremessar,Equipar y lanzar,Ausrüsten und werfen,Équiper et lancer,装备并投掷,装備して投げる,장착 후 던지기,Valitse ja heitä,,,
item_description_egg,Equip and throw,Установить и бросить,Equipar e arremessar,Equipar y lanzar,Ausrüsten und werfen,Équiper et lancer,装备并投掷,装備して投げる,장착 후 던지기,Valitse ja heitä,,,
item_potion_with_material,$0 flask,Бутыль ($0),Frasco de $0,Frasco de $0,Flasche mit $0,Flacon ($0),$0烧瓶,$0 フラスコ,$0 플라스크,$0puteli,,,
item_potion_fullness, ($0% full), (осталось: $0%), ($0% cheio), ($0% lleno), ($0 % voll), (rempli à $0 %), （$0% 装满）, ($0% 満タン), ($0% 차있음), ($0% täynnä),,,
item_potion_empty,Empty,Пусто,Vazio,Vacío,Leer,Vide,空,空,비어 있음,Tyhjä,,,
